1,1,4,385,406
1,2,4,517,570
1,3,2,257,352
1,4,4,39,94
1,5,1,437,471
2,1,3,273,294
2,2,3,294,346
2,3,3,346,362
2,4,3,247,273
2,5,2,0,71
3,1,4,0,39
3,2,5,86,184
3,3,3,484,526
3,4,3,216,247
3,5,2,558,570
4,1,2,71,148
4,2,2,148,203
4,3,4,208,287
4,4,2,352,418
4,5,4,440,517
5,1,5,263,346
5,2,4,406,440
5,3,3,152,216
5,4,5,551,570
5,5,1,471,508
6,1,2,203,257
6,2,3,362,405
6,3,3,405,484
6,4,1,262,354
6,5,1,508,570
7,1,5,0,69
7,2,3,75,152
7,3,5,464,551
7,4,1,175,262
7,5,5,346,439
8,1,1,0,38
8,2,1,38,98
8,3,4,143,184
8,4,4,184,208
8,5,1,354,437
9,1,5,69,86
9,2,4,94,143
9,3,5,439,464
9,4,2,514,558
9,5,4,287,385
10,1,1,98,175
10,2,5,184,263
10,3,3,526,569
10,4,3,0,75
10,5,2,418,514
