1,1,5,0,41
1,2,6,65,88
1,3,14,124,177
1,4,5,242,255
1,5,7,302,340
1,6,6,375,401
1,7,11,559,628
1,8,10,259,273
1,9,5,187,242
1,10,1,505,559
2,1,3,71,110
2,2,4,181,249
2,3,5,255,293
2,4,12,410,480
2,5,10,551,562
2,6,6,573,635
2,7,12,480,547
2,8,10,110,164
2,9,15,313,340
2,10,10,345,379
3,1,13,0,24
3,2,7,24,94
3,3,8,118,175
3,4,6,182,227
3,5,10,246,259
3,6,14,284,326
3,7,11,364,425
3,8,4,425,462
3,9,14,509,567
3,10,9,577,639
4,1,4,0,83
4,2,15,84,172
4,3,15,172,253
4,4,3,255,315
4,5,3,315,371
4,6,12,374,410
4,7,9,410,427
4,8,13,517,557
4,9,5,557,639
4,10,7,429,488
5,1,15,0,84
5,2,2,84,113
5,3,11,123,193
5,4,12,197,286
5,5,12,286,320
5,6,1,320,334
5,7,9,471,544
5,8,12,584,631
5,9,9,544,577
5,10,2,365,469
6,1,1,0,7
6,2,6,7,65
6,3,6,105,182
6,4,8,245,284
6,5,9,302,314
6,6,6,320,348
6,7,12,348,374
6,8,15,395,477
6,9,15,477,551
6,10,11,628,636
7,1,12,0,65
7,2,3,178,222
7,3,3,222,255
7,4,8,337,358
7,5,9,427,471
7,6,7,546,562
7,7,2,576,639
7,8,8,358,418
7,9,4,479,517
7,10,6,279,302
8,1,11,0,8
8,2,5,41,61
8,3,12,65,80
8,4,12,80,148
8,5,5,170,187
8,6,7,256,302
8,7,13,345,376
8,8,2,469,542
8,9,11,302,340
8,10,1,385,421
9,1,7,160,184
9,2,4,249,320
9,3,14,326,380
9,4,6,401,439
9,5,8,517,563
9,6,7,563,591
9,7,5,83,112
9,8,13,444,517
9,9,3,613,634
9,10,7,184,193
10,1,13,56,144
10,2,10,164,194
10,3,7,194,256
10,4,13,376,426
10,5,1,426,505
10,6,11,505,558
10,7,2,314,365
10,8,4,561,633
10,9,1,7,43
10,10,15,256,313
11,1,14,0,26
11,2,13,26,56
11,3,5,61,83
11,4,14,93,111
11,5,2,113,191
11,6,11,223,292
11,7,5,459,532
11,8,13,426,444
11,9,7,340,373
11,10,14,614,634
12,1,2,0,83
12,2,6,88,105
12,3,5,112,170
12,4,2,191,265
12,5,13,271,287
12,6,5,293,375
12,7,10,379,422
12,8,14,424,509
12,9,12,547,584
12,10,8,586,635
13,1,7,0,18
13,2,1,43,129
13,3,12,148,197
13,4,5,410,459
13,5,8,563,586
13,6,9,314,366
13,7,4,517,561
13,8,7,591,633
13,9,8,467,509
13,10,3,371,393
14,1,3,0,71
14,2,10,73,105
14,3,11,105,123
14,4,9,123,240
14,5,9,240,265
14,6,2,265,314
14,7,4,320,401
14,8,6,439,523
14,9,15,551,565
14,10,15,565,635
15,1,10,0,73
15,2,7,94,160
15,3,8,175,245
15,4,13,287,345
15,5,1,345,385
15,6,14,385,424
15,7,5,532,544
15,8,14,567,614
15,9,14,74,93
15,10,11,425,459
16,1,9,0,98
16,2,14,111,124
16,3,1,129,194
16,4,1,194,247
16,5,1,247,319
16,6,3,395,467
16,7,13,557,620
16,8,15,340,395
16,9,10,499,534
16,10,10,534,551
17,1,4,83,112
17,2,3,112,178
17,3,9,265,302
17,4,12,320,343
17,5,9,366,403
17,6,8,418,467
17,7,11,467,499
17,8,2,542,576
17,9,10,194,246
17,10,14,26,74
18,1,11,193,223
18,2,6,227,266
18,3,6,266,279
18,4,8,284,337
18,5,3,563,613
18,6,13,620,633
18,7,11,340,364
18,8,5,375,410
18,9,11,8,17
18,10,3,467,563
19,1,8,0,58
19,2,8,58,118
19,3,4,118,181
19,4,14,181,284
19,5,7,373,429
19,6,4,462,479
19,7,7,488,546
19,8,1,559,591
19,9,1,591,630
19,10,6,302,320
20,1,11,17,104
20,2,13,144,218
20,3,13,218,271
20,4,10,422,486
20,5,10,486,499
20,6,6,523,573
20,7,6,348,375
20,8,10,273,345
20,9,10,573,625
20,10,9,104,121
