1,1,1,0,25
1,2,3,194,215
1,3,4,161,187
1,4,4,107,128
1,5,3,32,86
2,1,3,16,32
2,2,1,41,57
2,3,5,226,265
2,4,2,147,182
2,5,2,182,212
3,1,2,121,147
3,2,4,187,221
3,3,1,224,249
3,4,1,249,265
3,5,4,47,95
4,1,2,0,49
4,2,1,57,78
4,3,4,95,107
4,4,5,120,173
4,5,2,242,254
5,1,1,199,224
5,2,3,236,257
5,3,4,0,26
5,4,4,140,161
5,5,3,86,140
6,1,3,0,16
6,2,1,25,41
6,3,1,124,158
6,4,5,89,120
6,5,2,212,242
7,1,2,49,75
7,2,2,75,121
7,3,1,158,183
7,4,1,183,199
7,5,4,221,269
8,1,5,0,55
8,2,1,78,99
8,3,4,128,140
8,4,5,173,226
8,5,2,254,266
9,1,1,99,124
9,2,3,215,236
9,3,5,55,89
9,4,4,26,47
9,5,3,140,194
