1,1,6,56,141
1,2,5,230,302
1,3,6,332,387
1,4,9,387,472
1,5,8,516,531
1,6,10,542,548
1,7,2,0,10
1,8,7,472,516
1,9,5,197,230
1,10,2,10,56
2,1,7,0,35
2,2,4,35,111
2,3,8,111,185
2,4,4,185,268
2,5,7,269,337
2,6,5,337,416
2,7,7,416,461
2,8,10,461,487
2,9,6,542,574
2,10,10,487,542
3,1,5,58,79
3,2,2,161,195
3,3,2,332,399
3,4,4,407,491
3,5,3,491,559
3,6,4,559,576
3,7,3,95,161
3,8,6,273,332
3,9,8,11,50
3,10,1,196,273
4,1,1,0,42
4,2,7,42,106
4,3,10,204,273
4,4,7,337,413
4,5,8,531,571
4,6,3,170,204
4,7,4,111,170
4,8,5,302,332
4,9,1,413,462
4,10,6,482,531
5,1,4,0,35
5,2,1,42,68
5,3,8,185,229
5,4,6,230,263
5,5,8,263,287
5,6,1,287,370
5,7,10,370,378
5,8,1,378,394
5,9,3,394,483
5,10,5,499,576
6,1,2,78,96
6,2,9,96,165
6,3,6,165,230
6,4,7,230,269
6,5,2,269,305
6,6,8,305,401
6,7,2,401,481
6,8,9,481,568
6,9,9,0,78
6,10,10,568,576
7,1,2,56,74
7,2,1,74,87
7,3,5,87,97
7,4,10,134,175
7,5,1,176,196
7,6,4,268,353
7,7,3,356,391
7,8,6,391,482
7,9,2,482,559
7,10,10,0,42
8,1,6,0,55
8,2,8,55,104
8,3,5,104,133
8,4,5,133,187
8,5,5,187,197
8,6,3,204,264
8,7,10,273,357
8,8,4,357,407
8,9,8,407,442
8,10,4,491,559
9,1,5,0,58
9,2,3,58,95
9,3,10,95,134
9,4,7,134,218
9,5,10,357,364
9,6,1,499,576
9,7,3,264,309
9,8,2,218,263
9,9,5,416,499
9,10,3,309,356
10,1,3,11,50
10,2,10,50,89
10,3,1,89,176
10,4,9,176,263
10,5,9,263,323
10,6,8,0,11
10,7,7,516,575
10,8,9,323,378
10,9,10,378,450
10,10,8,450,516
